experiment,status,dev_mae,best_before,promoted,elapsed_seconds,metrics_path,args
baseline_1m,ok,252.05881126637928,253.8358288847802,True,184.8,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/baseline_1m.json,--sample-n 1000000 --max-iter 260
no_density_1m,ok,253.60914514106534,252.05881126637928,False,179.2,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/no_density_1m.json,--sample-n 1000000 --max-iter 260 --disable-feature-group density
no_recency_1m,ok,252.22551359213597,252.05881126637928,False,177.2,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/no_recency_1m.json,--sample-n 1000000 --max-iter 260 --recency-half-life-days 0
squared_error_1m,ok,251.51174500674892,252.05881126637928,True,133.9,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_1m.json,--sample-n 1000000 --max-iter 260 --loss squared_error
no_same_zone_model_1m,ok,252.0658022063559,251.51174500674892,False,139.3,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/no_same_zone_model_1m.json,--sample-n 1000000 --max-iter 260 --no-same-zone-model
squared_error_no_recency_1m,ok,251.9292182606053,251.51174500674892,False,151.4,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_recency_1m.json,--sample-n 1000000 --max-iter 260 --loss squared_error --recency-half-life-days 0
squared_error_no_density_1m,ok,252.65204788721667,251.51174500674892,False,138.5,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_density_1m.json,--sample-n 1000000 --max-iter 260 --loss squared_error --disable-feature-group density
squared_error_no_cap_1m,ok,251.170786959104,251.51174500674892,True,131.4,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1m.json,--sample-n 1000000 --max-iter 260 --loss squared_error --target-cap-quantile 1.0
absolute_error_1m,ok,252.05881126637928,251.170786959104,False,175.3,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/absolute_error_1m.json,--sample-n 1000000 --max-iter 260 --loss absolute_error
squared_error_no_cap_1m_180,ok,251.56281639267297,251.170786959104,False,122.0,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1m_180.json,--sample-n 1000000 --max-iter 180 --loss squared_error --target-cap-quantile 1.0
squared_error_no_cap_1m_340,ok,250.80486683432588,251.170786959104,True,128.3,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1m_340.json,--sample-n 1000000 --max-iter 340 --loss squared_error --target-cap-quantile 1.0
squared_error_no_cap_2m_260,ok,251.2263349453214,250.80486683432588,False,164.2,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_2m_260.json,--sample-n 2000000 --max-iter 260 --loss squared_error --target-cap-quantile 1.0
squared_error_no_cap_1m_340_hl60,ok,251.904282281109,250.80486683432588,False,142.4,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1m_340_hl60.json,--sample-n 1000000 --max-iter 340 --loss squared_error --target-cap-quantile 1.0 --recency-half-life-days 60
squared_error_no_cap_1m_340_hl120,ok,252.10581584651538,250.80486683432588,False,140.3,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1m_340_hl120.json,--sample-n 1000000 --max-iter 340 --loss squared_error --target-cap-quantile 1.0 --recency-half-life-days 120
squared_error_no_cap_1m_340_seed7,ok,251.53883544798762,250.80486683432588,False,130.0,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1m_340_seed7.json,--sample-n 1000000 --sample-seed 7 --max-iter 340 --loss squared_error --target-cap-quantile 1.0
squared_error_no_cap_1m_420_lr045,ok,250.29831964368194,250.80486683432588,True,134.3,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1m_420_lr045.json,--sample-n 1000000 --max-iter 420 --learning-rate 0.045 --loss squared_error --target-cap-quantile 1.0
squared_error_no_cap_1m_420_leaf95,ok,251.061178975556,250.29831964368194,False,149.5,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1m_420_leaf95.json,--sample-n 1000000 --max-iter 420 --max-leaf-nodes 95 --loss squared_error --target-cap-quantile 1.0
squared_error_no_cap_1m_500_lr04,ok,250.2918265654839,250.29831964368194,True,148.0,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1m_500_lr04.json,--sample-n 1000000 --max-iter 500 --learning-rate 0.04 --loss squared_error --target-cap-quantile 1.0
squared_error_no_cap_1500k_420_lr045,ok,253.86409214598928,250.2918265654839,False,158.2,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/squared_error_no_cap_1500k_420_lr045.json,--sample-n 1500000 --max-iter 420 --learning-rate 0.045 --loss squared_error --target-cap-quantile 1.0
route_class_specialists_1m_500_lr04,ok,250.10634078187678,250.2918265654839,False,182.7,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/route_class_specialists_1m_500_lr04.json,--sample-n 1000000 --max-iter 500 --learning-rate 0.04 --loss squared_error --target-cap-quantile 1.0 --route-class-models --route-class-max-iter 260 --route-class-sample-n 400000
route_class_specialists_pruned_1m_500_lr04,ok,250.26585248351998,250.2918265654839,True,182.8,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/route_class_specialists_pruned_1m_500_lr04.json,--sample-n 1000000 --max-iter 500 --learning-rate 0.04 --loss squared_error --target-cap-quantile 1.0 --route-class-models --route-class-holdout-prune --route-class-max-iter 260 --route-class-sample-n 400000
target_encoding_1m_500_lr04,ok,250.26899149571614,250.26585248351998,False,160.7,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/target_encoding_1m_500_lr04.json,--sample-n 1000000 --max-iter 500 --learning-rate 0.04 --loss squared_error --target-cap-quantile 1.0
variance_route_class_pruned_1m_500_lr04,ok,250.83254108383636,250.26585248351998,False,186.6,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/variance_route_class_pruned_1m_500_lr04.json,--sample-n 1000000 --max-iter 500 --learning-rate 0.04 --loss squared_error --target-cap-quantile 1.0 --disable-feature-group target_encoding --route-class-models --route-class-holdout-prune --route-class-max-iter 260 --route-class-sample-n 400000
residual_calibration_route_pruned_1m_500_lr04,ok,250.26585248351998,250.26585248351998,False,183.0,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/residual_calibration_route_pruned_1m_500_lr04.json,--sample-n 1000000 --max-iter 500 --learning-rate 0.04 --loss squared_error --target-cap-quantile 1.0 --disable-feature-group target_encoding --disable-feature-group variance --route-class-models --route-class-holdout-prune --route-class-max-iter 260 --route-class-sample-n 400000 --residual-calibration --calibration-holdout-prune
affine_calibration_route_pruned_1m_500_lr04,ok,245.50200319051734,250.26585248351998,True,305.0,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/affine_calibration_route_pruned_1m_500_lr04.json,--sample-n 1000000 --max-iter 500 --learning-rate 0.04 --loss squared_error --target-cap-quantile 1.0 --disable-feature-group target_encoding --disable-feature-group variance --route-class-models --route-class-holdout-prune --route-class-max-iter 260 --route-class-sample-n 400000 --affine-calibration --calibration-holdout-prune
fine_affine_calibration_route_pruned_1m_500_lr04,failed,nan,245.50200319051734,False,173.1,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/fine_affine_calibration_route_pruned_1m_500_lr04.json,--sample-n 1000000 --max-iter 500 --learning-rate 0.04 --loss squared_error --target-cap-quantile 1.0 --disable-feature-group target_encoding --disable-feature-group variance --route-class-models --route-class-holdout-prune --route-class-max-iter 260 --route-class-sample-n 400000 --affine-calibration --fine-affine-calibration --calibration-holdout-prune
fine_affine_calibration_route_pruned_1m_500_lr04,ok,244.13189891018882,245.50200319051734,True,342.4,/Users/vasu/Desktop/arena/eta-challenge-starter/research_runs/fine_affine_calibration_route_pruned_1m_500_lr04.json,--sample-n 1000000 --max-iter 500 --learning-rate 0.04 --loss squared_error --target-cap-quantile 1.0 --disable-feature-group target_encoding --disable-feature-group variance --route-class-models --route-class-holdout-prune --route-class-max-iter 260 --route-class-sample-n 400000 --affine-calibration --fine-affine-calibration --calibration-holdout-prune
